logic,desc_test,machsmt_test,syn+desc_test,synt_test
ABV,-0.7 ± 1.2,-8.7 ± 46.7,71.2 ± 8.9,79.2 ± 9.3
ALIA,6.9 ± 10.0,14.6 ± 14.8,50.0 ± 7.1,60.3 ± 6.7
BV,31.0 ± 15.0,-1.0 ± 23.6,44.6 ± 18.1,24.4 ± 7.3
QF_IDL,40.8 ± 29.2,-51.1 ± 47.4,68.4 ± 10.1,59.6 ± 11.6
QF_LIA,85.5 ± 2.9,77.7 ± 4.7,90.5 ± 2.2,87.9 ± 2.4
QF_NRA,37.2 ± 16.6,10.5 ± 25.6,46.7 ± 12.6,35.1 ± 11.9
QF_SLIA,86.6 ± 2.9,N/A,93.9 ± 1.6,91.1 ± 2.6
UFLIA,-19.8 ± 20.7,-166.5 ± 86.4,18.2 ± 22.2,10.0 ± 24.7
UFNIA,0.0 ± 0.0,-53.0 ± 58.7,32.7 ± 10.7,26.4 ± 11.4
