logic,num_benchmarks,num_families,num_solvers,sbs,vbs
ABV,2487,2,3,837,971
ABVFP,60,3,2,26,32
ABVFPLRA,77,2,2,36,36
ALIA,1537,2,3,298,390
ANIA,78,2,3,9,13
AUFBV,761,3,3,517,519
AUFBVDTLIA,784,1,2,386,386
AUFBVDTNIA,8,1,2,3,3
AUFBVDTNIRA,1062,1,2,137,197
AUFBVFP,57,2,2,36,37
AUFDTLIA,300,3,3,293,294
AUFDTLIRA,4721,1,3,4194,4195
AUFDTNIRA,725,1,3,563,570
AUFFPDTNIRA,159,1,1,133,133
AUFLIA,1663,4,3,1425,1447
AUFLIRA,1683,4,3,1569,1569
AUFNIA,3,1,3,0,0
AUFNIRA,300,4,3,66,72
BV,1040,15,5,952,1002
BVFP,208,3,2,190,193
BVFPLRA,266,3,2,258,258
FP,1334,4,2,1256,1279
FPLRA,41,2,2,37,37
LIA,300,4,5,300,300
LRA,1013,5,4,1003,1005
NIA,254,5,5,227,246
NRA,99,3,5,93,97
QF_ABV,7574,19,4,7553,7558
QF_ABVFP,627,3,3,625,626
QF_ABVFPLRA,25,2,3,25,25
QF_ALIA,176,6,4,170,171
QF_ANIA,155,6,3,134,142
QF_AUFBV,75,6,5,64,69
QF_AUFBVFP,1,1,3,1,1
QF_AUFLIA,534,6,4,534,534
QF_AUFNIA,9,1,3,9,9
QF_AX,300,3,5,300,300
QF_BV,10703,48,6,10489,10560
QF_BVFP,526,7,3,526,526
QF_BVFPLRA,75,4,3,75,75
QF_DT,352,3,4,218,262
QF_FP,275,7,3,252,264
QF_FPLRA,55,4,3,55,55
QF_IDL,1208,20,5,1047,1101
QF_LIA,4825,31,5,4514,4726
QF_LIRA,7,1,4,6,6
QF_LRA,595,16,5,574,582
QF_NIA,12274,14,4,9755,10189
QF_NIRA,2,1,4,1,1
QF_NRA,3104,17,5,2813,2933
QF_RDL,247,5,5,213,213
QF_S,8867,5,4,8853,8855
QF_SLIA,23722,13,4,23276,23700
QF_SNIA,70,2,4,70,70
QF_UF,3521,8,6,3521,3521
QF_UFBV,300,6,5,288,291
QF_UFBVDT,76,1,2,50,51
QF_UFDT,200,1,4,163,184
QF_UFDTLIA,76,1,2,59,60
QF_UFDTLIRA,9,1,2,9,9
QF_UFDTNIA,80,2,2,45,48
QF_UFFPDTNIRA,15,1,2,15,15
QF_UFIDL,300,10,4,276,286
QF_UFLIA,300,3,4,286,286
QF_UFLRA,541,3,4,538,538
QF_UFNIA,339,6,3,236,266
QF_UFNRA,48,3,3,47,47
UF,2857,7,4,1177,1201
UFBV,144,5,3,99,108
UFBVDT,1,1,2,0,0
UFBVFP,2,2,2,1,1
UFBVLIA,208,1,2,2,2
UFDT,1569,2,3,571,592
UFDTLIA,294,3,3,211,211
UFDTLIRA,3382,1,3,3013,3029
UFDTNIA,2,2,3,1,1
UFDTNIRA,2043,1,3,1873,1880
UFFPDTNIRA,355,1,1,326,326
UFIDL,20,3,3,10,11
UFLIA,2849,12,3,1628,1657
UFLRA,7,2,3,2,2
UFNIA,6279,10,3,3688,3759
UFNIRA,266,1,3,102,112
