logic,num_benchmarks,num_families,num_solvers,sbs,vbs,gap_sbs_vbs,%gap,%missing_desc
ABV,2487,2,3,837,971,134,16.0%,0.0%
ALIA,1537,2,3,298,390,92,30.9%,0.0%
AUFBVDTNIRA,1062,1,2,137,197,60,43.8%,100.0%
BV,1040,15,5,952,1002,50,5.3%,1.4%
QF_BV,10703,48,6,10489,10560,71,0.7%,18.5%
QF_IDL,1208,20,5,1047,1101,54,5.2%,20.9%
QF_LIA,4825,31,5,4514,4726,212,4.7%,7.1%
QF_NIA,12274,14,4,9755,10189,434,4.4%,86.2%
QF_NRA,3104,17,5,2813,2933,120,4.3%,1.3%
QF_SLIA,23722,13,4,23276,23700,424,1.8%,16.5%
UFNIA,6279,10,3,3688,3759,71,1.9%,0.4%
