logic,sbs,vbs,synt,synt_std,synt_mpnet,synt_mpnet_std,gin_pwc,gin_pwc_std,mach_ehm,mach_ehm_std,fusion_pwc,fusion_pwc_std,sibyl,sibyl_std
ABV,211.8,246.6,236.8,9.1,235.0,8.6,238.4,7.7,214.0,11.7,239.4,6.9,218.2,5.6
ALIA,76.0,96.6,86.4,5.3,87.0,4.5,87.4,5.8,80.4,5.7,89.8,5.4,83.4,3.7
BV,236.6,250.2,241.8,3.2,243.0,3.1,241.6,6.8,237.4,2.9,243.4,5.2,236.0,3.2
QF_BV,2623.2,2639.0,2628.2,6.0,2632.8,4.9,2630.4,4.0,2623.4,7.0,2632.0,6.0,2625.4,3.0
QF_IDL,258.6,273.2,269.4,1.6,270.2,1.6,270.0,1.4,259.6,2.0,271.4,2.5,256.4,4.9
QF_LIA,1131.0,1183.4,1178.2,5.8,1178.2,4.6,1179.0,5.9,1172.6,7.8,1178.0,5.7,1169.0,6.2
QF_NRA,703.2,735.8,718.8,4.3,721.2,6.3,721.0,5.4,709.8,7.0,721.4,5.8,703.0,9.1
QF_SLIA,5813.4,5925.8,5916.2,2.6,5920.6,1.0,5919.4,3.5,5901.0,23.8,5920.2,3.1,,
UFNIA,923.0,939.4,924.8,19.5,927.4,18.5,927.4,18.5,900.2,26.4,928.8,17.5,,
